Product Name,Product Price,Product Ratings,Product Ratings Count,Product Link,Description,ASIN,Product Description,Manufacturer
URBAN TRIBE 29L Jumbo Laptop Backpack for Men and Women | Bag with 17.3 inch Gaming Laptop Compartment | Anti Theft Lock Zippers,"1,499",4.1 out of 5 stars,227,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDE4MzAwMzQ1NTg0NjU1OjE2OTc2NTA0NDY6c3BfYXRmOjMwMDA3MTk0ODIwOTQzMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697650446%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,description_value,asin_value,product_description_value,manufacturer_value
URBAN TRIBE Fitpack Pro Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym Backpack with Shoe Compartment,"2,289",3.9 out of 5 stars,361,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDE4MzAwMzQ1NTg0NjU1OjE2OTc2NTA0NDY6c3BfYXRmOjMwMDA3NDk3MDU0MjEzMjo6MDo6&url=%2FUrban-Tribe-Backpack-Separate-Compartment%2Fdp%2FB07KFGNWH8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697650446%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,description_value,asin_value,product_description_value,manufacturer_value
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3 out of 5 stars,"13,238",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-3,description_value,asin_value,product_description_value,manufacturer_value
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3 out of 5 stars,"6,886",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-4,description_value,asin_value,product_description_value,manufacturer_value
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,049",4.0 out of 5 stars,"56,357",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-5,description_value,asin_value,product_description_value,manufacturer_value
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1 out of 5 stars,"1,956",https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-6,description_value,asin_value,product_description_value,manufacturer_value
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7 out of 5 stars,"2,773",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-7,description_value,asin_value,product_description_value,manufacturer_value
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449,4.4 out of 5 stars,"5,279",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-8,description_value,asin_value,product_description_value,manufacturer_value
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",749,4.1 out of 5 stars,"6,673",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-9,description_value,asin_value,product_description_value,manufacturer_value
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,"3,853",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697650446&sprefix=ba%2Caps%2C283&sr=8-10,description_value,asin_value,product_description_value,manufacturer_value
"WALKENT Premium 15.6 Inch Laptop Bag | External USB | Waterproof Backpack | Cushioned Straps | Multi Pockets | For Office, College, Men, Women - Urban, 28 Ltrs","2,990",0,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDE4MzAwMzQ1NTg0NjU1OjE2OTc2NTA0NDY6c3BfbXRmOjMwMDAzNTY5NDU0MDUzMjo6MDo6&url=%2FWALKENT-External-Waterproof-Backpack-Cushioned%2Fdp%2FB0BRYDXSHP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697650446%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,description_value,asin_value,product_description_value,manufacturer_value
"WALKENT 15.6"" Laptop Bags with Special Waterproof Silk Polyester Material for Office, College, Men & Women (Model Hazel, 20 Liters, Black)","2,190",4.3 out of 5 stars,27,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDE4MzAwMzQ1NTg0NjU1OjE2OTc2NTA0NDY6c3BfbXRmOjMwMDAwNjc3NDc4MzEzMjo6MDo6&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697650446%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,description_value,asin_value,product_description_value,manufacturer_value
